user;date;text;favorite_count;retweet_count;retweeter_usr
mcbrakiss;Sat Feb 12 23:59:59 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;catfishyak
ljohn44;Sat Feb 12 23:59:59 +0000 2022;RT @bdtaylor_SU: Celeste Wallander is one of our leading experts on Russian security policy. Given where we are now, not getting her confir…;0;23;catfishyak
Stephan31708140;Sat Feb 12 23:59:57 +0000 2022;RT @mchooyah: This administration will NOT defend our borders. But it WILL fight Russia defending Ukraine’s. Madness.;0;4000;catfishyak
fingalpimpernel;Sat Feb 12 23:59:57 +0000 2022;RT @farrelly_peter: Didn’t even tweet him tonight, I just liked a reply sent to him calling out his baffling opinion that the Ukraine/Russi…;0;5;catfishyak
BazookaJoe1568;Sat Feb 12 23:59:57 +0000 2022;RT @mattzarb: Cheering on the prospect of “standing up to Putin” by going to war with Russia, pretending they have friends in Ukraine who a…;0;175;catfishyak
mkj1951;Sat Feb 12 23:59:56 +0000 2022;RT @Acyn: Tulsi: President Biden could end this crisis and prevent a war with Russia by doing something very simple: guaranteeing that Ukra…;0;640;catfishyak
ikerot;Sat Feb 12 23:59:54 +0000 2022;"RT @TG22110: About 40% of Americans will blame Biden (Not Putin) if Russia invades Ukraine.  

Let that sink in.";0;857;catfishyak
schmermund_mary;Sat Feb 12 23:59:52 +0000 2022;RT @TomJChicago: An invasion and occupation of all of Ukraine, requires far more troops than the 135,000 that Russia currently has assemble…;0;202;catfishyak
summertimealwys;Sat Feb 12 23:59:51 +0000 2022;RT @mysteriouskat: Why does the U.S. appear to be so keen on Russia going to war with Ukraine?;0;82;catfishyak
deejaymcguire;Sat Feb 12 23:59:49 +0000 2022;RT @ErsteLaste: @agraybee I am absolutely amazed at people both-sidesing Russia's existing occupation and threatened invasion of Ukraine. I…;0;8;catfishyak
CrackBunnyLives;Sat Feb 12 23:59:48 +0000 2022;RT @Quest1776: @USA_Anne711 Heard this on Glenn Beck yesterday. Biden could stop this by guaranteeing that Ukraine does not get into NATO.…;0;3;catfishyak
franknmiller;Sat Feb 12 23:59:48 +0000 2022;"RT @CarmineSabia: We were told that President Donald Trump was soft on Russia and they would take advantage of him.

2014 - Russia annexes…";0;140;catfishyak
MissyCooper13;Sat Feb 12 23:59:48 +0000 2022;RT @GordonGChang: Can it be coincidence that #VladimirPutin is on the verge of invading #Ukraine just days after he talked to #China? See:…;0;54;catfishyak
wirt_dan;Sat Feb 12 23:59:48 +0000 2022;"RT @ClintEhrlich: If Russia invades Ukraine, hawks will act like this vindicates their strategy. 

In reality, they are the ones who create…";0;50;catfishyak
KT108427;Sat Feb 12 23:59:47 +0000 2022;RT @ianbremmer: Ukraine vs Russia military by the numbers: https://t.co/fsZF4Tkdib;0;4460;catfishyak
Unknown40817220;Sat Feb 12 23:59:47 +0000 2022;"RT @Huck1995: I’ve mentioned this many times, but people rarely listen

We have these “Russia is getting ready to invade Ukraine!” announce…";0;634;catfishyak
gnadas;Sat Feb 12 23:59:46 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;catfishyak
Arctic__char;Sat Feb 12 23:59:46 +0000 2022;RT @olgatokariuk: Dear international media, when covering 🇺🇦, please remember, Ukrainians are not pawns in a geopolitical game. We are real…;0;2668;catfishyak
nlshowalter;Sat Feb 12 23:59:46 +0000 2022;RT @SamRamani2: Everyone is predicting war between Russia and Ukraine except Russia and Ukraine;0;12360;catfishyak
MissyCooper13;Sat Feb 12 23:59:45 +0000 2022;RT @GordonGChang: When #Biden took office, the world was stable. Now, we are on the verge of war, in both #Europe and #Asia. #Ukraine #Ukra…;0;161;catfishyak
LatinoAgenda1;Sat Feb 12 23:59:45 +0000 2022;RT @milibonilla22: .@POTUS says Russia has no right to invade #Ukraine! Well, neither should have the United States invaded #PuertoRico in…;0;2;catfishyak
snoopaugiedog;Sat Feb 12 23:59:44 +0000 2022;RT @TristanSnell: The mainstream media is hoping Russia attacks Ukraine — and the right-wing media is cheering for Russia.;0;1561;catfishyak
Crash20153;Sat Feb 12 23:59:44 +0000 2022;RT @SamRamani2: Everyone is predicting war between Russia and Ukraine except Russia and Ukraine;0;12360;catfishyak
davidjackdaw;Sat Feb 12 23:59:44 +0000 2022;"RT @geol_uk: US/UK ""Russian invasion"" hysteria has become an insane frenzy. Does nobody ask the simple question ""Why?""

WHY would Russia wa…";0;222;catfishyak
